_id,temperature,humidity,air_quality,noise_level,timestamp,zone,local_timestamp
680cb11a2a8a477d1c78c751,33.1,73.8,89,3,2025-04-26T10:10:34.078Z,playground,
680cb1572a8a477d1c78c752,33.2,73.7,101,2,2025-04-26T10:11:35.697Z,playground,
680cb1952a8a477d1c78c753,33.2,73.7,65,28,2025-04-26T10:12:37.143Z,playground,
680cb1d22a8a477d1c78c754,33.2,73.7,94,3,2025-04-26T10:13:38.812Z,playground,
680cb2102a8a477d1c78c755,33.2,73.9,95,9,2025-04-26T10:14:40.468Z,playground,2025-04-26T15:44:40.468Z
680cb24e2a8a477d1c78c756,33.2,73.7,135,12,2025-04-26T10:15:42.112Z,playground,2025-04-26T15:45:42.112Z
680cb28b2a8a477d1c78c757,33.3,73.3,144,13,2025-04-26T10:16:43.533Z,playground,2025-04-26T15:46:43.533Z
680cb2c92a8a477d1c78c758,33.3,73.2,144,9,2025-04-26T10:17:45.387Z,playground,2025-04-26T15:47:45.387Z
680cb3072a8a477d1c78c759,33.3,73.1,185,12,2025-04-26T10:18:47.026Z,playground,2025-04-26T15:48:47.026Z
680cb3442a8a477d1c78c75a,33.3,73.6,169,22,2025-04-26T10:19:48.696Z,playground,2025-04-26T15:49:48.696Z
680cb3832a8a477d1c78c75b,33.5,76.5,179,16,2025-04-26T10:20:51.245Z,playground,2025-04-26T15:50:51.245Z
680cb3c02a8a477d1c78c75c,33.6,72.5,175,16,2025-04-26T10:21:52.776Z,playground,2025-04-26T15:51:52.776Z
680cb3fe2a8a477d1c78c75d,33.4,72.8,165,12,2025-04-26T10:22:54.220Z,playground,2025-04-26T15:52:54.220Z
680cb43c2a8a477d1c78c75e,33.4,73.2,169,10,2025-04-26T10:23:56.280Z,playground,2025-04-26T15:53:56.280Z
680cb4792a8a477d1c78c75f,33.4,72.9,173,15,2025-04-26T10:24:57.941Z,playground,2025-04-26T15:54:57.941Z
680cb4b72a8a477d1c78c760,33.4,72.8,159,7,2025-04-26T10:25:59.379Z,playground,2025-04-26T15:55:59.379Z
680cb4f52a8a477d1c78c761,33.4,72.8,163,13,2025-04-26T10:27:01.022Z,playground,2025-04-26T15:57:01.022Z
680cb5322a8a477d1c78c762,33.4,72.7,167,12,2025-04-26T10:28:02.867Z,playground,2025-04-26T15:58:02.867Z
680cb5702a8a477d1c78c763,33.3,72.7,167,7,2025-04-26T10:29:04.326Z,playground,2025-04-26T15:59:04.326Z
680cb5ae2a8a477d1c78c764,33.3,72.6,169,9,2025-04-26T10:30:06.165Z,playground,2025-04-26T16:00:06.165Z
680cb5eb2a8a477d1c78c765,33.3,72.6,172,11,2025-04-26T10:31:07.619Z,playground,2025-04-26T16:01:07.619Z
680cb62a2a8a477d1c78c766,33.3,72.7,172,11,2025-04-26T10:32:10.000Z,playground,2025-04-26T16:02:10.000Z
680cb6672a8a477d1c78c767,33.3,72.7,176,17,2025-04-26T10:33:11.506Z,playground,2025-04-26T16:03:11.506Z
680cb6a42a8a477d1c78c768,33.3,72.4,176,26,2025-04-26T10:34:12.964Z,playground,2025-04-26T16:04:12.964Z
680cb6e82a8a477d1c78c769,33.3,72.4,170,15,2025-04-26T10:35:20.532Z,playground,2025-04-26T16:05:20.532Z
680cb7262a8a477d1c78c76a,33.3,72.5,169,14,2025-04-26T10:36:22.609Z,playground,2025-04-26T16:06:22.609Z
680cb7652a8a477d1c78c76b,33.3,72.6,175,15,2025-04-26T10:37:25.667Z,playground,2025-04-26T16:07:25.667Z
680cb7a32a8a477d1c78c76c,33.3,72.5,166,17,2025-04-26T10:38:27.735Z,playground,2025-04-26T16:08:27.735Z
680cb7e22a8a477d1c78c76d,33.3,72.6,175,16,2025-04-26T10:39:30.059Z,playground,2025-04-26T16:09:30.059Z
680cb8212a8a477d1c78c76e,33.3,72.5,175,13,2025-04-26T10:40:33.364Z,playground,2025-04-26T16:10:33.364Z
680cb85f2a8a477d1c78c76f,33.3,72.5,170,16,2025-04-26T10:41:35.740Z,playground,2025-04-26T16:11:35.740Z
680cb89d2a8a477d1c78c770,33.2,72.7,163,16,2025-04-26T10:42:37.830Z,playground,2025-04-26T16:12:37.830Z
680cb918352aa37c88923143,33.2,72.9,176,14,2025-04-26T10:44:40.884Z,playground,2025-04-26T16:14:40.884Z
680cb956352aa37c88923144,33.3,72.7,176,16,2025-04-26T10:45:42.344Z,playground,2025-04-26T16:15:42.344Z
680cb993352aa37c88923145,33.4,72.5,153,16,2025-04-26T10:46:43.982Z,playground,2025-04-26T16:16:43.982Z
680cb9d1352aa37c88923146,33.3,72.2,174,17,2025-04-26T10:47:45.432Z,playground,2025-04-26T16:17:45.432Z
680cba0e352aa37c88923147,33.1,72.2,173,15,2025-04-26T10:48:46.871Z,playground,2025-04-26T16:18:46.871Z
680cba4c352aa37c88923148,32.9,72.1,167,16,2025-04-26T10:49:48.314Z,playground,2025-04-26T16:19:48.314Z
680cba89352aa37c88923149,32.8,72.8,169,16,2025-04-26T10:50:49.951Z,playground,2025-04-26T16:20:49.951Z
680cbac7352aa37c8892314a,32.7,72.8,176,16,2025-04-26T10:51:51.388Z,playground,2025-04-26T16:21:51.388Z
680cbb05352aa37c8892314b,32.7,73.8,184,20,2025-04-26T10:52:53.250Z,playground,2025-04-26T16:22:53.250Z
680cbb43352aa37c8892314c,32.8,73.7,175,17,2025-04-26T10:53:55.088Z,playground,2025-04-26T16:23:55.088Z
680cbb80352aa37c8892314d,32.9,73.4,176,18,2025-04-26T10:54:56.974Z,playground,2025-04-26T16:24:56.974Z
680cbbbe352aa37c8892314e,32.9,73.2,176,16,2025-04-26T10:55:58.593Z,playground,2025-04-26T16:25:58.593Z
680cbbfc352aa37c8892314f,32.9,73.1,176,16,2025-04-26T10:57:00.027Z,playground,2025-04-26T16:27:00.027Z
680cbc39352aa37c88923150,33,73,178,17,2025-04-26T10:58:01.686Z,playground,2025-04-26T16:28:01.686Z
680cbc77352aa37c88923151,33,73,192,16,2025-04-26T10:59:03.530Z,playground,2025-04-26T16:29:03.530Z
680cbcb4352aa37c88923152,33,73,179,16,2025-04-26T11:00:04.965Z,playground,2025-04-26T16:30:04.965Z
680cbcf2352aa37c88923153,33,72.5,177,17,2025-04-26T11:01:06.421Z,playground,2025-04-26T16:31:06.421Z
680cbd2f352aa37c88923154,33,72.8,176,18,2025-04-26T11:02:07.843Z,playground,2025-04-26T16:32:07.843Z
680cbd6f352aa37c88923155,33.1,72.8,177,16,2025-04-26T11:03:11.566Z,playground,2025-04-26T16:33:11.566Z
680cbdad352aa37c88923156,33.2,72.6,176,21,2025-04-26T11:04:13.397Z,playground,2025-04-26T16:34:13.397Z
680cbdeb352aa37c88923157,33.3,72.3,183,20,2025-04-26T11:05:15.065Z,playground,2025-04-26T16:35:15.065Z
680cbe28352aa37c88923158,33.4,71.9,182,25,2025-04-26T11:06:16.530Z,playground,2025-04-26T16:36:16.530Z
680cbe66352aa37c88923159,33.5,71.5,176,16,2025-04-26T11:07:18.127Z,playground,2025-04-26T16:37:18.127Z
680cbea3352aa37c8892315a,33.6,71.3,176,23,2025-04-26T11:08:19.794Z,playground,2025-04-26T16:38:19.794Z
680cbee1352aa37c8892315b,33.6,71.1,177,19,2025-04-26T11:09:21.426Z,playground,2025-04-26T16:39:21.426Z
680cbf1f352aa37c8892315c,33.6,71,180,21,2025-04-26T11:10:23.279Z,playground,2025-04-26T16:40:23.279Z
680cbf5c352aa37c8892315d,33.7,70.5,181,25,2025-04-26T11:11:24.716Z,playground,2025-04-26T16:41:24.716Z
680cbf9a352aa37c8892315e,33.8,70.4,176,23,2025-04-26T11:12:26.156Z,playground,2025-04-26T16:42:26.156Z
680cbfd7352aa37c8892315f,33.8,70.3,178,22,2025-04-26T11:13:27.603Z,playground,2025-04-26T16:43:27.603Z
680cc015352aa37c88923160,33.9,69.9,178,24,2025-04-26T11:14:29.247Z,playground,2025-04-26T16:44:29.247Z
680cc052352aa37c88923161,33.9,69.8,183,27,2025-04-26T11:15:30.695Z,playground,2025-04-26T16:45:30.695Z
680cc090352aa37c88923162,33.8,69.7,180,31,2025-04-26T11:16:32.353Z,playground,2025-04-26T16:46:32.353Z
680cc0cd352aa37c88923163,33.8,69.3,178,24,2025-04-26T11:17:33.783Z,playground,2025-04-26T16:47:33.783Z
680cc10b352aa37c88923164,33.7,69.9,378,268,2025-04-26T11:18:35.225Z,playground,2025-04-26T16:48:35.225Z
680cc148352aa37c88923165,33.5,70.5,390,270,2025-04-26T11:19:36.665Z,playground,2025-04-26T16:49:36.665Z
680cc186352aa37c88923166,33.5,70.8,400,277,2025-04-26T11:20:38.130Z,playground,2025-04-26T16:50:38.130Z
680cc1c3352aa37c88923167,33.6,70.9,400,278,2025-04-26T11:21:39.773Z,playground,2025-04-26T16:51:39.773Z
680cc201352aa37c88923168,33.5,70.9,409,272,2025-04-26T11:22:41.409Z,playground,2025-04-26T16:52:41.409Z
680cc23e352aa37c88923169,33.4,71.1,406,279,2025-04-26T11:23:42.828Z,playground,2025-04-26T16:53:42.828Z
680cc27c352aa37c8892316a,33.3,71.3,409,282,2025-04-26T11:24:44.293Z,playground,2025-04-26T16:54:44.293Z
680cc2b9352aa37c8892316b,33.2,71.6,415,281,2025-04-26T11:25:45.733Z,playground,2025-04-26T16:55:45.733Z
680cc2f7352aa37c8892316c,33.2,71.8,422,293,2025-04-26T11:26:47.571Z,playground,2025-04-26T16:56:47.571Z
680cc335352aa37c8892316d,33.2,71.8,427,286,2025-04-26T11:27:49.024Z,playground,2025-04-26T16:57:49.024Z
680cc372352aa37c8892316e,33.1,71.8,417,290,2025-04-26T11:28:50.458Z,playground,2025-04-26T16:58:50.458Z
680cc3af352aa37c8892316f,33.1,71.9,417,281,2025-04-26T11:29:51.895Z,playground,2025-04-26T16:59:51.895Z
680cc3ed352aa37c88923170,33.1,71.9,432,294,2025-04-26T11:30:53.747Z,playground,2025-04-26T17:00:53.747Z
680cc42b352aa37c88923171,33.1,72,429,305,2025-04-26T11:31:55.391Z,playground,2025-04-26T17:01:55.391Z
